cz_000.wav|Ahoj, jmenuji se Yegor a toto je test mého hlasu.
cz_001.wav|Dnes je krásný slunečný den v Praze.
cz_002.wav|Systém překládá řeč v reálném čase mezi jazyky.
cz_003.wav|Chtěl bych vědět, kolik je teď hodin.
cz_004.wav|Tato konference probíhá online přes internet.
cz_005.wav|Umělá inteligence mění způsob, jakým komunikujeme.
cz_006.wav|Můžete prosím zopakovat poslední větu?
cz_007.wav|Zítra plánujeme schůzku v devět hodin.
cz_008.wav|Český jazyk má mnoho krásných a zajímavých slov.
cz_009.wav|Tato technologie umožňuje rychlejší komunikaci.
cz_010.wav|Jak se dnes máš, můj příteli?
cz_011.wav|Musíme důkladně otestovat kvalitu tohoto hlasu.
cz_012.wav|Praha je hlavní město České republiky.
cz_013.wav|Rychlost překladu je pro uživatele velmi důležitá.
cz_014.wav|Děkuji vám za vaši pomoc a trpělivost.
