de_000.wav|Hallo, mein Name ist Yegor und dies ist ein Stimmtest.
de_001.wav|Heute ist ein schöner sonniger Tag in Berlin.
de_002.wav|Das System übersetzt Sprache in Echtzeit zwischen Sprachen.
de_003.wav|Ich möchte wissen, wie spät es jetzt ist.
de_004.wav|Diese Konferenz findet online über das Internet statt.
de_005.wav|Künstliche Intelligenz verändert die Art, wie wir kommunizieren.
de_006.wav|Können Sie bitte den letzten Satz wiederholen?
de_007.wav|Wir planen morgen ein Treffen um neun Uhr.
de_008.wav|Die deutsche Sprache hat viele schöne und interessante Wörter.
de_009.wav|Diese Technologie ermöglicht eine schnellere Kommunikation.
de_010.wav|Wie geht es dir heute, mein Freund?
de_011.wav|Wir müssen die Qualität dieser Stimme gründlich testen.
de_012.wav|Berlin ist die Hauptstadt von Deutschland.
de_013.wav|Die Übersetzungsgeschwindigkeit ist für Benutzer sehr wichtig.
de_014.wav|Vielen Dank für Ihre Hilfe und Geduld.
